name,organisation,country,url,url_api,description,location,has_issue,issue_type,code_en
Dirrecão Nacional Meteorologia E Geofisica,Timor-leste,East Timor,http://dnmg.gov.tl/,,,"-8.5667, 125.5667",,,East Timor - Dirrecão Nacional Meteorologia E Geofisica
Disaster Responsetothe South Carolina Flooding,Disaster Responsetothe South Carolina Flooding,United States,http://scflooding.fema.opendata.arcgis.com,,Arcgis OpenData Portal,"33.5828933775, -80.5407714844",FALSE,,United States - Disaster Responsetothe South Carolina Flooding
District Information System For Education,India,India,http://dise.in,,,"21.0, 78.0",,,India - District Information System For Education
District Of Columbia,District Of Columbia,United States,http://data.octo.dc.gov,,"Access raw data files, databases, geographic data, and other data sources from the District of Columbia","38.9170559, -77.0002539",,,United States - District Of Columbia
"District Of North Vancouver, British Columbia",District Of North Vancouver,Canada,http://geoweb.dnv.org/data/,,"GEOweb, the District of North Vancouver’s Open Data portal. Uses its [own license](http://geoweb.dnv.org/ancillary/site-legal.html).","49.3362205, -123.07796",,,"Canada - District Of North Vancouver, British Columbia"
District Of Peachland,District Of Peachland,Canada,http://peachland.rdco.opendata.arcgis.com,,Arcgis OpenData Portal,"49.7682382671, -119.739481155",,,Canada - District Of Peachland
"District Of West Kelowna, Bc",Canada,Canada,http://www.districtofwestkelowna.ca/471/Open-Data,,,"49.8625, -119.5833",,,"Canada - District Of West Kelowna, Bc"
Districtof Lake Country-Open Data,District of Lake Country-Open Data,Canada,http://dlc.rdco.opendata.arcgis.com,,Arcgis OpenData Portal,"50.0440417712, -119.40843219",FALSE,,Canada - Districtof Lake Country-Open Data
Division Of Finance,United States,United States,http://doa.alaska.gov/dof/,,,"58.3, -134.41667",,,United States - Division Of Finance
Documento Patrimônio Cultural,Documento Patrimônio Cultural,Brazil,http://data.documento.opendata.arcgis.com,,Arcgis OpenData Portal,"-20.3046263683, -47.1083673218",,,Brazil - Documento Patrimônio Cultural
Dominica Meteorological Services,Dominica,Dominica,http://weather.gov.dm/,,,"15.4167, -61.3333",,,Dominica - Dominica Meteorological Services
Don Meltz AGIS,Don Meltz AGIS,United States,http://donmeltzagis.dmeltz.opendata.arcgis.com,,Arcgis OpenData Portal,"38.1454963093, -95.2214201167",,,United States - Don Meltz AGIS
Données Martin,Données Martin,Mali,http://martinc.esrica-services.opendata.arcgis.com,,Arcgis OpenData Portal,"21.9658546806, -0.7025",,,Mali - Données Martin
Données ouvertes de la province de Québec(démo),Données ouvertes de la province de Québec (démo),Canada,http://opendata.sigquebec.com,,Arcgis OpenData Portal,"54.2526013385, -70.092609375",FALSE,,Canada - Données ouvertes de la province de Québec(démo)
Données ouvertes de la ville de Montréal(démonstration),Données ouvertes de la ville de Montréal (démonstration),Canada,http://metropole.esriquebec.opendata.arcgis.com,,Arcgis OpenData Portal - Demo,"45.5851513268, -73.6910906194",FALSE,,Canada - Données ouvertes de la ville de Montréal(démonstration)
Données ouvertes de la ville de Québec(démo),Données ouvertes de la ville de Québec (démo),Canada,http://capitale.esriquebec.opendata.arcgis.com,,Arcgis OpenData Portal - Demo,"46.8169189437, -71.2713518499",FALSE,,Canada - Données ouvertes de la ville de Québec(démo)
Dot - Minnesota Gis Data,United States,United States,http://dot.state.mn.us/maps/gdma/gis-data.html,,,"44.97528, -93.23417",,,United States - Dot - Minnesota Gis Data
Douglas County GIS Open Data-Copy,Douglas County GIS Open Data-Copy,United States,http://data.dogis.opendata.arcgis.com,,Arcgis OpenData Portal,"41.2602973822, -95.9644511986",FALSE,,United States - Douglas County GIS Open Data-Copy
Download Data Site,Download Data Site,Kuwait,http://opendatakw.openware.opendata.arcgis.com,,Arcgis OpenData Portal,"29.2224956201, 47.8125",,,Kuwait - Download Data Site
Du Page County Illinois,Du Page County Illinois,United States,http://dupageilgis.dupage.opendata.arcgis.com,,Arcgis OpenData Portal,"41.8602001669, -88.075",,,United States - Du Page County Illinois
Dublinked Datastore,Nui Maynooth,"Ireland, Republic of",http://www.dublinked.ie/datastore/index.php,,"Dublinked is a joint initiative of the local authorities of the Dublin Region and researchers from NUI Maynooth.

The project operates a data store, including a data catalog, focusing on Dublin City and the neighbouring counties of the Dublin Region.

Some of the data is open, other parts are member-only. There is a membership fee.","53.333056, -6.248889",TRUE,,"Ireland, Republic of - Dublinked Datastore"
Durham Open Data,Durham City and Durham County,United States,https://opendurham.nc.gov,,"North Carolina, Triangle Park","36.0020228, -79.0253388",,,United States - Durham Open Data
Durham Region,The Regional Municipality of Durham,Canada,http://opendata.durham.ca,,"The Region of Durham provides several interactive web mapping applications for users to access and view geographical information. These mapping sites provide information on parks, trails, roads, civic facilities, schools, construction projects, health information and more.","43.9368, -78.9288",,,Canada - Durham Region
Dutch National Data portal,Netherlands,Netherlands,http://data.overheid.nl,,Overheid.nl is the central access point to all information about / from government organisations of the Netherlands. Data.overheid.nl (launched 2011) is the central register for all government data sets.,"52.3167, 5.55",,,Netherlands - Dutch National Data portal
e Hydro,e Hydro,United States,http://ehydro.cesamusace.opendata.arcgis.com,,Arcgis OpenData Portal,"38.1454963093, -95.2214201167",,,United States - e Hydro
E Ng Ibrahim Jarrar,E Ng Ibrahim Jarrar,Jordan,http://jarrar.jordantraining.opendata.arcgis.com,,Arcgis OpenData Portal,"30.5408994114, 36.71634375",TRUE,,Jordan - E Ng Ibrahim Jarrar
e Research South Australia,Research South Australia,Australia,https://data.sa.edu.au/,,"Using the eResearch SA Open Data Directory you can discover openly licensed data so you can transform that data enabling new applications, research outcomes and ideas. Using the eResearch SA Open Data Directory you can discover openly licensed data so you can transform that data enabling new applications, research outcomes and ideas.

This Open Data Directory is provided by eResearch SA for the research community in South Australia.","-30.058333, 135.763333",,,Australia - e Research South Australia
e-Geodetski podatki,The Surveying and Mapping Authority of the Republic of Slovenia,Slovenia,http://egp.gu.gov.si/egp/,,,"46.0463831, 14.5150811",,,Slovenia - e-Geodetski podatki
Eau Claire Walleye Study,Eau Claire Walleye Study,United States,http://ecwalleye.org,,Arcgis OpenData Portal,"44.7607982643, -91.1043583069",FALSE,,United States - Eau Claire Walleye Study
Ebola,Ebola,Côte d'Ivoire,http://na.ebolaresponse.opendata.arcgis.com,,Arcgis OpenData Portal,"7.92315438113, -5.3175625",FALSE,,Côte d'Ivoire - Ebola
Ebola Data,Africa Open Data Group,United States,http://www.eboladata.org/,,,"40.7127837, -74.0059413",,,United States - Ebola Data
